SNR_dB,BER_DCS,BER_Perfect,NMSE_DCS
-20,0.2196421875,0.1552171875,0.36646566
-15,0.1666390625,0.095334375,0.1644058
-10,0.1146375,0.0398921875,0.08516183
-5,0.0594671875,0.0055953125,0.054029364
0,0.0214859375,4.21875e-05,0.04239465
5,0.0065515625,0.0,0.036445793
10,0.0069953125,0.0,0.034906387
15,0.00465625,0.0,0.03428182
20,0.003465625,0.0,0.03410871
25,0.00435,0.0,0.033666797
30,0.0028890625,0.0,0.033332337
