SNR_dB,BER_DCS,BER_Perfect
-20,0.350418359375,0.307112109375
-15,0.30014609375,0.24244140625
-10,0.23592265625,0.169512109375
-5,0.1757015625,0.101914453125
0,0.129762109375,0.06024453125
5,0.111481640625,0.038923828125
10,0.1053375,0.020333984375
15,0.101664453125,0.00608984375
20,0.100071484375,0.000487109375
25,0.100303125,5.46875e-06
30,0.10002421875,0.0
