SNR_dB,BER_DCS_Cal,BER_Perfect,NMSE_DCS
-20,0.34498203125,0.23362421875,0.60472715
-15,0.2837859375,0.1567421875,0.26145357
-10,0.21638125,0.08663046875,0.124039926
-5,0.1553296875,0.055471875,0.07301934
0,0.1150734375,0.0366921875,0.048392154
5,0.09769140625,0.01710625,0.03903398
10,0.09283984375,0.00340859375,0.035633232
15,0.08486796875,0.0001265625,0.034252033
20,0.08313046875,0.0,0.033890605
25,0.08071953125,0.0,0.03360108
30,0.08064140625,0.0,0.034159455
